split,address,num_nodes,num_edges
train,0x0000000000b3F879cb30FE243b4Dfee438691c04,717,716
train,0x0016e71c7ced04b51a1fd8bb5c36d9e0cee9e1bb,551,550
train,0x001ea8150f4965195e10e5b5568047e1555a6dcd,485,484
train,0x001f0aa5da15585e5b2305dbab2bac425ea71007,741,740
train,0x002842529757eab873cce9c251087e1b993f9200,364,363
train,0x003ea7f54b6dcf6cee86986edc18143a35f15505,1280,1279
train,0x003f79d7be15dc1ad90ce00e6ea68f335e2b789b,385,384
train,0x00416B9d728069eDB0cEb04bC2b203fA7336d1F1,955,954
train,0x00430f32b8e77a456d0ab7e6f1dc1b84f4ae62e0,409,408
train,0x00539863217abd04b374a422c855e4c71ed1019a,77,76
train,0x0056A6Ac46C0540b9b39BFEecae0C9482f80F809,595,594
train,0x00571808479CEd690a6948992E32b1F3E69DF557,357,356
train,0x0061fde3dc2ec7a24b1e9683e94db91fd52ab709,515,514
train,0x0062179227c03efc81301ade144f447f2561edd5,1675,1674
train,0x0064fbb3f58de455a07b674b9ef6da96553ef9be,352,351
train,0x006b4425ba57148466c0c54af1c484348a14a8a4,2092,2091
train,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,1916,1915
train,0x00755562dfc1f409ec05d38254158850e4e8362a,613,612
train,0x0078bd770f55a3c6b8f3b3d2a0c21fcac8a92394,322,321
train,0x007df6ad281cbbb9e0e9373654fe588b2bd3b9af,520,519
train,0x007fa227d5d693f7f29e27b1fa028fd2051ed072,1143,1142
train,0x008a8d41c2cb3054504a61e1d54a06fd83560254,495,494
train,0x009449c99a2822914d68691d87b0177292fb5a6c,567,566
train,0x009da0220bf71a5443e396c472f575d402b2d974,350,349
train,0x009f0e67dbaf4644603c0660e974cf5e34726481,440,439
train,0x00a0cbe98e4d110b0fa82646152d77babf2951d0,400,399
train,0x00a9f7d093c46d95f0318e4a6ffc6ed68f73044c,972,971
train,0x00b3ea4b9e28d2914f376cb0463c0f473c2e6179,467,466
train,0x00bef2b6b0948de9e97e2038a1dd87af0b1bcf14,1741,1740
train,0x00d18a886e30234f8aa9b6d3a349b3bc981deda0,1880,1879
train,0x00e9bcfab52c108505411849faba90e83c98101b,641,640
train,0x00f90986cdd79744409f8a3c7747064afa4473b5,2688,2687
train,0x00fa44d91d7541d16dd18a48dd6a011de5e887df,266,265
train,0x00fdd4b5f4e4cc7d6ac02eafb6ef893f1e4d4723,359,358
train,0x00ff9c740bac8cad80f1a3b1c4f20d7ea1c92637,342,341
train,0x010583963f3ae4929253975ebd6bab0066870828,558,557
train,0x011ea78cadd45e578bfe8e6897a4c29f84821c47,325,324
train,0x0127889d6061837ccb9859f79eba77c00b077c87,350,349
train,0x0130fe407729f9781b7006de7589d4d239ac0612,701,700
train,0x0135ff54aa9547d0305528dd06275bc5fb174cbd,350,349
train,0x0142c3b2fc51819b5af5dfc4aa52df9722790851,731,730
train,0x014b50466590340d41307cc54dcee990c8d58aa8,598,597
train,0x0156888f51d68f858ac88aba45df699e2af2e4cc,398,397
train,0x01617196358c14628d032f9c5f7188f2fbcafd78,350,349
train,0x0167ea36024d646ee38062cd07f041e1e1d3a89a,764,763
train,0x0168703872fa06741ecaa9dff7803168e83f7ae0,614,613
train,0x017214d55f5daac38f5f7547629f29ead7fa1c3c,623,622
train,0x01851201a93510ff29f1f3cd9a719e43dc97cab3,350,349
train,0x018595b9622c574abc59eb0723b1c712c028ea5f,1586,1585
train,0x018c4031426917a769fe9964ab2650621642b8d7,1161,1160
train,0x018f01b4cb44ed29f4d91e7e28b1c1f4abc8a060,2325,2324
train,0x0197E6c839925CdCb701F9F4e98198B4E39f42C2,508,507
train,0x019d7e5ae8d2ba9a292244311dc7355058ab1b08,162,161
train,0x01aa8709b876a5896a6f299878e1c35b184084c1,399,398
train,0x01afc37f4f85babc47c0e2d0eababc7fb49793c8,575,574
train,0x01b6f09b54d246670627a009a7dc85bd54354eed,930,929
train,0x01c1103d765f62a0d909499d7b615c382cdb072d,5315,5314
train,0x01d5d0108589f3c52fcce6e65503bb6515e66698,1394,1393
train,0x01d9895bd853dc50ba4229c098b86f122dec5ceb,350,349
train,0x01dae2898900622f79c5d09e7363693cd1f48be8,538,537
train,0x01dd8186B8f38DFA01eA2c044355EA95206a4481,193,192
train,0x020357707453376823f2fa427243d8906e4d8a20,367,366
train,0x02135140a3ecce81711460bac817060a6e4a96d7,1009,1008
train,0x0214d7faA8145bDdb0fb4977980cE26AA1f95cEE,1547,1546
train,0x0215c96d7badf65cfe9b897d232e53451c3876d3,659,658
train,0x022de2e28a61f9d197f8966dd0fc8f7ddf70f2dc,397,396
train,0x022de5f5d6df5624487d9c51b0d496f9d8721878,1258,1257
train,0x0230CfC895646d34538aE5b684d76Bf40a8B8B89,34,33
train,0x0235fe624e044a05eed7a43e16e3083bc8a4287a,705,704
train,0x023c601fc2f0943ff9f2c88f22b23e95c666a174,848,847
train,0x0248f089a622b74cebaa62573605af9a44966bf1,434,433
train,0x024cb480c6bf81eea0067c2682a706e5da5c6024,1506,1505
