address,before_optimized_token,optimized_80p_token,optimized_50_token,optimize_20p_token
0x0000000000b3F879cb30FE243b4Dfee438691c04,1497,1172,686,258
0x0016e71c7ced04b51a1fd8bb5c36d9e0cee9e1bb,1506,1184,716,281
0x001ea8150f4965195e10e5b5568047e1555a6dcd,1558,1224,747,287
0x001f0aa5da15585e5b2305dbab2bac425ea71007,1567,1245,779,310
0x002842529757eab873cce9c251087e1b993f9200,1161,924,555,216
0x003ea7f54b6dcf6cee86986edc18143a35f15505,1549,1187,768,313
0x003f79d7be15dc1ad90ce00e6ea68f335e2b789b,1176,943,561,217
0x00416B9d728069eDB0cEb04bC2b203fA7336d1F1,1486,1204,754,315
0x00430f32b8e77a456d0ab7e6f1dc1b84f4ae62e0,1267,993,600,239
0x00539863217abd04b374a422c855e4c71ed1019a,224,172,114,49
0x0056A6Ac46C0540b9b39BFEecae0C9482f80F809,1548,1195,746,299
0x00571808479CEd690a6948992E32b1F3E69DF557,1131,885,520,219
0x0061fde3dc2ec7a24b1e9683e94db91fd52ab709,1530,1186,719,288
0x0062179227c03efc81301ade144f447f2561edd5,1552,1228,773,305
0x0064fbb3f58de455a07b674b9ef6da96553ef9be,1097,858,526,205
0x006b4425ba57148466c0c54af1c484348a14a8a4,1557,1228,778,307
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,1556,1238,749,300
0x00755562dfc1f409ec05d38254158850e4e8362a,1525,1208,741,301
0x0078bd770f55a3c6b8f3b3d2a0c21fcac8a92394,1065,865,553,192
0x007df6ad281cbbb9e0e9373654fe588b2bd3b9af,1430,1119,657,251
0x007fa227d5d693f7f29e27b1fa028fd2051ed072,1506,1205,740,282
0x008a8d41c2cb3054504a61e1d54a06fd83560254,1572,1239,746,298
0x009449c99a2822914d68691d87b0177292fb5a6c,1534,1218,737,287
0x009da0220bf71a5443e396c472f575d402b2d974,1069,847,520,202
0x009f0e67dbaf4644603c0660e974cf5e34726481,1398,1112,671,270
0x00a0cbe98e4d110b0fa82646152d77babf2951d0,1225,963,596,229
0x00a9f7d093c46d95f0318e4a6ffc6ed68f73044c,1508,1196,752,298
0x00b3ea4b9e28d2914f376cb0463c0f473c2e6179,1530,1195,741,253
0x00bef2b6b0948de9e97e2038a1dd87af0b1bcf14,1540,1238,776,322
0x00d18a886e30234f8aa9b6d3a349b3bc981deda0,1469,1169,715,303
0x00e9bcfab52c108505411849faba90e83c98101b,1473,1175,736,290
0x00f90986cdd79744409f8a3c7747064afa4473b5,1465,1174,748,318
0x00fa44d91d7541d16dd18a48dd6a011de5e887df,877,695,413,166
0x00fdd4b5f4e4cc7d6ac02eafb6ef893f1e4d4723,1101,881,529,208
0x00ff9c740bac8cad80f1a3b1c4f20d7ea1c92637,1057,817,493,208
0x010583963f3ae4929253975ebd6bab0066870828,1483,1167,729,285
0x011ea78cadd45e578bfe8e6897a4c29f84821c47,1009,811,492,192
0x0127889d6061837ccb9859f79eba77c00b077c87,1069,847,520,202
0x0130fe407729f9781b7006de7589d4d239ac0612,1618,1291,780,318
0x0135ff54aa9547d0305528dd06275bc5fb174cbd,1069,847,520,202
0x0142c3b2fc51819b5af5dfc4aa52df9722790851,1592,1263,786,324
0x014b50466590340d41307cc54dcee990c8d58aa8,1460,1181,710,284
0x0156888f51d68f858ac88aba45df699e2af2e4cc,1281,1018,624,241
0x01617196358c14628d032f9c5f7188f2fbcafd78,1069,847,520,202
0x0167ea36024d646ee38062cd07f041e1e1d3a89a,1558,1235,754,306
0x0168703872fa06741ecaa9dff7803168e83f7ae0,1492,1172,726,294
0x017214d55f5daac38f5f7547629f29ead7fa1c3c,1504,1187,711,293
0x01851201a93510ff29f1f3cd9a719e43dc97cab3,1069,847,520,202
0x018595b9622c574abc59eb0723b1c712c028ea5f,1510,1217,757,297
0x018c4031426917a769fe9964ab2650621642b8d7,1525,1199,762,313
0x018f01b4cb44ed29f4d91e7e28b1c1f4abc8a060,1487,1181,736,301
0x0197E6c839925CdCb701F9F4e98198B4E39f42C2,1655,1291,791,318
0x019d7e5ae8d2ba9a292244311dc7355058ab1b08,467,360,220,89
0x01aa8709b876a5896a6f299878e1c35b184084c1,1305,1027,629,251
0x01afc37f4f85babc47c0e2d0eababc7fb49793c8,1564,1264,770,299
0x01b6f09b54d246670627a009a7dc85bd54354eed,1484,1191,714,297
0x01c1103d765f62a0d909499d7b615c382cdb072d,1577,1294,825,333
0x01d5d0108589f3c52fcce6e65503bb6515e66698,1599,1295,815,323
0x01d9895bd853dc50ba4229c098b86f122dec5ceb,1069,847,520,202
0x01dae2898900622f79c5d09e7363693cd1f48be8,1504,1200,709,281
0x01dd8186B8f38DFA01eA2c044355EA95206a4481,589,460,287,104
0x020357707453376823f2fa427243d8906e4d8a20,1155,913,549,215
0x02135140a3ecce81711460bac817060a6e4a96d7,1517,1210,749,295
0x0214d7faA8145bDdb0fb4977980cE26AA1f95cEE,1499,1196,767,304
0x0215c96d7badf65cfe9b897d232e53451c3876d3,1548,1210,734,295
0x022de2e28a61f9d197f8966dd0fc8f7ddf70f2dc,1195,950,604,206
0x022de5f5d6df5624487d9c51b0d496f9d8721878,1502,1211,772,311
0x0230CfC895646d34538aE5b684d76Bf40a8B8B89,109,88,56,21
0x0235fe624e044a05eed7a43e16e3083bc8a4287a,1634,1296,810,315
0x023c601fc2f0943ff9f2c88f22b23e95c666a174,1537,1220,745,289
0x0248f089a622b74cebaa62573605af9a44966bf1,1368,1078,663,240
0x024cb480c6bf81eea0067c2682a706e5da5c6024,1454,1187,731,289
0x025460864660f4651483b07d47c16e52aeb6dd4b,626,493,301,118
0x02585e4a14da274d02df09b222d4606b10a4e940,1564,1238,772,322
0x025abAD9e518516fdaAFBDcdB9701b37fb7eF0FA,1469,1151,679,276
0x025db0ad4f49ae49102246bbb5120a619e9562c0,1516,1217,753,303
0x0260c78d494f0fefc7f42ebab710768feeebc017,1069,847,520,202
0x0263e76b500a3cf6b31753a70055d9a05a3e655b,1559,1251,760,313
0x0266151c5b5ba83fb1d7abedd70da3736180f4a2,1069,847,520,202
0x026e39be56bd57657204e34d5bdb80c85709d0ee,1501,1177,709,281
0x026eb3120e81270dd7aeb0c240851c0b82407693,1086,852,523,203
0x0279f2882d32f19661649535d802a8df9efd7d6f,1268,988,601,233
0x0281d3d07af19c504d4dde8af899c12781f89a69,1069,847,520,202
0x0297c3970da02bb88a411d3665e0e2ecfad20206,625,492,312,113
0x02aa481223f81b30ae9ccd4845ebfc3d4f4be068,1086,852,520,198
0x02b0cfdc2ce5775feb68be62a7df3bba56598817,1516,1202,769,311
0x02b35b885595427f28c46066c61b73ad957ac2f8,1338,1051,651,254
0x02b6700c0282a687d66f3e09723bed55f23d5b83,1095,856,526,199
0x02c56f1e280fd64cb034385dbb26ede7517b6198,1559,1238,774,323
0x02cb1adc98e984a67a3d892dbb7ed72b36da7b07,1525,1203,739,309
0x02cf57be43971ce5446f7893d9a73d3571976e06,822,634,384,150
0x02d91ac9fd1c0c9762f9591c7acb37d23f6fc927,1069,847,520,202
0x02dbe2f315e059743376abcd22ab4908ea9fb02d,1566,1251,747,306
0x02dc5c6317cb81fc1ba5fd7fcb773f5a42deb700,1488,1187,739,275
0x02e2c4e6b91734f1f3d2cf4bc4ec4db4a51bf04f,984,789,481,183
0x02f2563fadac788ce0965443b232d1e26e50e5fe,1069,847,520,202
0x02f63293d2028a6de37f1d9545e66246a0a45911,175,141,81,37
0x02fef77de4bbaf4adfb5ff7b81312e3cdebde646,1069,847,520,202
